soc2_control_id,tsc_domain,area,iso_control_id,aws_mechanism_type,aws_mechanism,primary_evidence_source,evidence_location,shows_in_rag,shows_in_streamlit,notes
CC7.3,Security (CC),Change Management,A.14.2.9,AWS Config Conformance Pack,Conformance pack for hardened baselines,Config pack + weekly report,"S3://$FAFO_EVIDENCE_BUCKET/weekly/, config/",TRUE,TRUE,"Ongoing baseline drift detection"
CC7.4,Security (CC),Change Management,A.14.2.5,Audit Manager,Change management procedures & approvals,Audit Manager assessment,"Audit Manager SOC2 assessment export",FALSE,TRUE,"Primarily process evidence, surfaced via exec summary"
CC8.1,Security (CC),System Operations,A.12.4.1,CloudWatch + Security Hub,Security Hub findings + CloudWatch alarms,Weekly report + alarm screenshots,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Operational monitoring of control failures"
CC8.2,Security (CC),System Operations,A.12.4.3,EventBridge + Lambda,Event-driven remediation Lambda (S3 public access, SG fixes),Remediation evidence JSON,"S3://$FAFO_EVIDENCE_BUCKET/remediation/",TRUE,TRUE,"“Catch & fix” automation with evidence"
CC8.3,Security (CC),System Operations,A.12.7.1,Security Hub + Config,Security Hub aggregated findings,Weekly Excel/CSV,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"System-level monitoring and trending"
A1.1,Availability (A),Availability,A.17.1.1,AWS Backup + Config,AWS Backup vault policies,Backup job reports + weekly,"S3://$FAFO_EVIDENCE_BUCKET/weekly/, backup/",TRUE,TRUE,"Backup coverage for critical systems"
A1.2,Availability (A),Availability,A.17.2.1,Multi-AZ + Auto Scaling,EC2/ALB multi-AZ deployment,Architectural diagrams + AWS Console screenshots,"S3://$FAFO_EVIDENCE_BUCKET/architecture/",FALSE,TRUE,"Infra-level high availability"
A1.3,Availability (A),Availability,A.12.1.3,CloudWatch Alarms,Health/baseline alarms (latency, errors),CloudWatch alarm exports + weekly,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Operational availability monitoring"
A1.4,Availability (A),Availability,A.17.1.2,Runbooks + Lambda,Failover runbooks stored in S3,Runbook PDFs + automation logs,"S3://$FAFO_EVIDENCE_BUCKET/runbooks/",FALSE,TRUE,"Process-oriented evidence, summarized in RAG"
A1.5,Availability (A),Availability,A.17.1.3,Audit Manager,BCP/DR testing documentation,Audit Manager SOC2 assessment,"Audit Manager exports",FALSE,TRUE,"Policies/procedures; only referenced by RAG summary"
A1.6,Availability (A),Availability,A.12.1.3,Route 53 Health Checks,Health checks + DNS failover,Route 53 logs + screenshots,"S3://$FAFO_EVIDENCE_BUCKET/architecture/",FALSE,TRUE,"Infra availability pattern"
A1.7,Availability (A),Availability,A.12.3.1,Event-driven Ops,Lambda responding to operational events,Weekly ops and incident summaries,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Event-driven operations & logging"
C1.1,Confidentiality (C),Confidentiality,A.8.2.3,KMS + S3 default encryption,S3 default encryption + bucket KMS,Config + weekly report,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Confidentiality via at-rest encryption"
C1.2,Confidentiality (C),Confidentiality,A.13.2.1,TLS Enforcement,ALB/CloudFront TLS policy,Config/Security Hub checks,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"In-transit confidentiality"
C1.3,Confidentiality (C),Confidentiality,A.9.4.1,Secrets Manager + IAM,Secrets rotation and restricted access,Secrets logs + weekly report,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Credential storage and access patterns"
C1.4,Confidentiality (C),Confidentiality,A.9.1.2,Security Hub FSBP,FSBP S3.1 – Prohibit public read access on S3,Security Hub findings + remediation,"S3://$FAFO_EVIDENCE_BUCKET/remediation/, weekly/",TRUE,TRUE,"Your S3 public access finding → remediation path"
C1.5,Confidentiality (C),Confidentiality,A.18.1.4,Audit Manager,Data handling policies & NDAs,Audit Manager SOC2 assessment,"Audit Manager exports",FALSE,TRUE,"Process docs – high-value for auditors"
C1.6,Confidentiality (C),Confidentiality,A.9.2.3,Config + IAM,Sensitive roles access review,Weekly access review exports,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Access review cycle evidence"
